Station,X,Y
Oberlaa,760,763
Neulaa,720,763
Alaudagasse,693,734
Altes Landgut,665,708
Troststrasse,665,671
Reumannplatz,665,632
Keplerplatz,665,593
Suedtiroler Platz - Hauptbahnhof,665,555
Taubstummengasse,665,518
Karlsplatz,665,475
Stephansplatz,665,372
Schwedenplatz,717,300
Nestroyplatz,741,274
Praterstern,767,245
Vorgartenstrasse,798,217
Donauinsel,824,191
Kaisermuehlen/VIC,852,165
Alte Donau,876,139
Kagran,900,115
Kagraner Platz,922,93
Rennbahnweg,944,73
Aderklaaer strasse,965,52
Grossfeldsiedlung,985,32
Leopoldau,1010,8
Seestadt,1212,224
Aspern Nord,1192,198
Hausfeldstrasse,1151,200
Aspernstrasse,1125,235
Donauspital,1075,237
Hardeggasse,1018,237
Stadlau,998,265
Donaustadtbruecke,981,294
Donaumarina,959,324
Stadion,905,305
Krieau,872,278
Messe-Prater,835,245
Taborstrasse,717,245
Schottenring,665,245
Schottentor,617,289
Rathaus,582,324
Volkstheater,582,372
Museumsquartier,582,427
Ottakring,165,259
Kendlerstrasse,204,278
Huetteldorfer strasse,243,298
Johnstrasse,280,316
Schweglerstrasse,322,337
Westbahnhof,392,372
Zieglergasse,461,372
Neubaugasse,518,372
Herrengasse,621,372
Stubentor,704,372
Landstrasse,756,372
Rochusgasse,795,400
Kardinal-Nagl-Platz,830,424
Schlachthausgasse,863,448
Erdberg,905,475
Gasometer,941,500
Zippererstrasse,981,529
Enkplatz,1016,556
Simmering,1055,582
Huetteldorf,8,475
Ober St. Veit,60,475
Unter St. Veit,106,475
Braunschweiggasse,154,475
Hietzing,206,475
Schoenbrunn,261,475
Meidling Haupstrasse,315,475
Laengenfeldgasse,392,475
Margaretenguertel,459,475
Pilgramgasse,516,475
Kettenbrueckengasse,581,475
Stadtpark,741,442
Rossauer Laende,627,213
Friedensbruecke,590,174
Spittelau,520,100
Heiligenstradt,520,10
Siebenhirten,392,745
Perfektastrasse,392,712
Erlaaer strasse,392,680
Alterlaa,392,647
Am Schoepfwerk,392,617
Tschwerttegasse,392,582
Bahnhof Meidling,392,551
Niederhofstrasse,392,518
Gumpendorfer strasse,392,422
Burggasse-Stadthalle,392,335
Thaliastrasse,392,305
Josefstaedter strasse,392,272
Alser strasse,392,243
Michelbeuern - AKH,392,204
Waehringer strasse - Volksoper,392,158
Nussdorfer strasse,449,100
Jaegerstrasse,566,100
Dresdner strasse,605,100
Handelskai,657,100
Neue Donau,702,54
Floridsdorf,747,10